"SSID","BSSID","Mfg Mac","Worst Problem","AP","Channel","Channel Width","802.11 Type","Signal","SNR","Security","Authorization Class","Basic Rates","TX Power","QBSS Station Count","QBSS Channel Utilization","Channel Changes","Country Code","Retries","Max n Rate","Max ac Rate","Max ax Rate","Max be Rate","Clients","Multi-BSSID","Reduced Neighbor Report","Name","Last Seen"
"[srmwifi]","CiscoMer:683a1e-321628","CiscoMer:683a1e-321628","--","CiscoMer:683a1e-321628","1","20","n,g,b","-70 dBm","20 dB","WPA2-P","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","CiscoMer:683a1e-321628","Feb 22,2021 01:44PM"
"[Hidden]","Cisco:843dc6-baf405","Cisco:843dc6-baf405","--","WA-EVERETT-AP7_","157","20","ac,n,a","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Cisco:843dc6-baf405","Feb 22,2021 01:37PM"
"Snackers_Service_5G","ASUSTek:9c5c8e-89c28c","ASUSTekC:9c5c8e-89c28c","--","ASUSTekC:9c5c8e-89c28c","165","20","ac,n,a","-72 dBm","18 dB","Open","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","ASUSTekC:9c5c8e-89c28c","Feb 22,2021 01:44PM"
"[srmwifi]","localAdm:6a3a0e-321523","Local:6a3a0e-321523","--","Local:6a3a0e-321523","161","80","ac,n,a","-77 dBm","13 dB","WPA2-P","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","Local:6a3a0e-321523","Feb 22,2021 01:44PM"
"Corporate Wi-Fi","Ubiquiti:18e829-91e105","Ubiquiti:18e829-91e105","--","Ubiquiti:18e829-92e105","6","20","n,g,b","-74 dBm","16 dB","WPA2-P","Unspecified","1,2,5.5,6,11,12","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Ubiquiti:18e829-91e105","Feb 22,2021 01:44PM"
"National Food","localAdm:1ae829-91e105","Local:1ae829-91e105","--","Ubiquiti:18e829-92e105","6","20","n,g,b","-73 dBm","17 dB","WPA2-P","Unspecified","1,2,5.5,6,11,12","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:1ae829-91e105","Feb 22,2021 01:44PM"
"srmguest","localAdm:623a0e-321523","Local:623a0e-321523","--","Local:6a3a0e-321523","161","80","ac,n,a","-77 dBm","13 dB","WPA2-P","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:623a0e-321523","Feb 22,2021 01:44PM"
"SRMSTF-1","localAdm:6e3a0e-321523","Local:6e3a0e-321523","--","Local:6a3a0e-321523","161","80","ac,n,a","-77 dBm","13 dB","WPA2-P","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","Local:6e3a0e-321523","Feb 22,2021 01:44PM"
"[Hidden]","localAdm:2ae829-91e105","Local:2ae829-91e105","--","Ubiquiti:18e829-92e105","6","20","n,g,b","-74 dBm","16 dB","WPA2-P","Unspecified","1,2,5.5,6,11,12","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:2ae829-91e105","Feb 22,2021 01:44PM"
"srmguest","localAdm:623a0e-321628","Local:623a0e-321628","--","CiscoMer:683a1e-321628","112","80","ac,n,a","-78 dBm","11 dB","WPA2-P","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","Local:623a0e-321628","Feb 22,2021 01:44PM"
"SRMSTF-1","localAdm:6e3a0e-321628","Local:6e3a0e-321628","--","CiscoMer:683a1e-321628","112","80","ac,n,a","-78 dBm","11 dB","WPA2-P","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","2","--","--","Local:6e3a0e-321628","Feb 22,2021 01:44PM"
"[srmwifi]","localAdm:6a3a0e-321628","Local:6a3a0e-321628","--","CiscoMer:683a1e-321628","112","80","ac,n,a","-79 dBm","10 dB","WPA2-P","Unspecified","12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:6a3a0e-321628","Feb 22,2021 01:44PM"
"SRMSTF-1","localAdm:6e3a1e-321628","Local:6e3a1e-321628","--","CiscoMer:683a1e-321628","1","20","n,g,b","-69 dBm","21 dB","WPA2-P","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","1","--","--","Local:6e3a1e-321628","Feb 22,2021 01:44PM"
